"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
1996,성동구,"120,570","109,063","11,507","123,078","111,187","11,891","90,145","86,303","3,842"
1997,성동구,"154,325","138,635","15,690","156,730","140,928","15,802","118,555","114,050","4,505"
1998,성동구,"149,719","131,954","17,765","147,848","129,750","18,098","120,471","116,286","4,185"
1999,성동구,"146,328","124,282","22,046","159,931","135,218","24,713","116,370","107,401","8,969"
2000,성동구,"184,930","156,926","28,004","185,087","157,725","27,362","142,719","131,032","11,687"
2001,성동구,"185,243","152,493","32,750","185,323","151,537","33,786","159,050","134,264","24,786"
2002,성동구,"168,579","146,901","21,678","174,908","151,928","22,980","145,783","131,233","14,550"
2003,성동구,"219,904","196,300","23,604","221,528","198,108","23,420","185,659","169,282","16,377"
2004,성동구,"246,243","222,965","23,278","247,238","227,585","19,653","200,316","186,539","13,777"
2005,성동구,"240,457","216,381","24,076","234,114","210,656","23,458","208,185","188,167","20,018"
2006,성동구,"224,449","205,434","19,015","222,405","207,875","14,530","194,575","182,229","12,346"
2007,성동구,"255,897","240,826","15,071","255,533","240,828","14,705","207,431","199,690","7,741"
2008,성동구,"302,168","278,133","24,035","417,881","393,004","24,877","245,723","230,809","14,914"
2009,성동구,"434,556","417,779","16,777","485,337","469,048","16,289","375,199","365,424","9,775"
2010,성동구,"352,647","337,325","15,322","385,198","368,874","16,324","283,309","271,100","12,209"
2011,성동구,"354,923","336,873","18,050","369,878","351,309","18,569","310,121","302,340","7,781"
2012,성동구,"341,290","319,917","21,373","355,645","331,497","24,148","305,535","288,855","16,680"
2013,성동구,"359,439","340,049","19,390","363,400","340,777","22,623","316,081","300,812","15,269"
2014,성동구,"383,158","365,637","17,521","372,720","352,617","20,104","342,727","334,523","8,204"
2015,성동구,"413,372","389,970","23,402","412,946","387,692","25,254","376,862","357,723","19,138"
2016,성동구,"459,826","439,720","20,107","467,876","445,922","21,954","392,458","379,634","12,824"
2017,성동구,"516,823","489,325","27,498","526,515","495,261","31,254","448,277","432,336","15,941"
2018,성동구,"540,506","515,668","24,838","557,891","529,284","28,607","471,020","452,431","18,589"
2019,성동구,"629,363","602,722","26,642","673,452","644,200","29,252","549,666","535,122","14,544"
