"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
1996,중구,"159,476","140,760","18,716","164,066","143,127","20,939","117,710","107,510","10,200"
1997,중구,"171,078","147,153","23,925","173,763","151,029","22,734","128,673","113,943","14,730"
1998,중구,"167,544","146,411","21,133","165,716","146,933","18,783","132,088","120,205","11,883"
1999,중구,"151,497","130,177","21,320","160,281","139,204","21,077","124,602","108,955","15,647"
2000,중구,"171,440","150,373","21,067","183,147","161,791","21,356","134,283","117,973","16,310"
2001,중구,"185,544","162,671","22,873","199,385","174,038","25,347","144,302","125,520","18,782"
2002,중구,"202,008","182,273","19,735","214,365","191,733","22,632","150,757","141,151","9,606"
2003,중구,"220,169","192,310","27,859","235,976","207,829","28,147","152,602","142,170","10,432"
2004,중구,"253,989","221,469","32,520","278,240","244,198","34,042","203,954","184,151","19,803"
2005,중구,"261,362","232,287","29,075","273,359","243,091","30,268","199,585","180,878","18,707"
2006,중구,"276,170","249,704","26,466","290,543","256,720","33,823","210,170","198,691","11,479"
2007,중구,"296,402","259,629","36,773","310,993","276,221","34,772","213,544","204,156","9,388"
2008,중구,"338,269","291,227","47,042","355,392","308,595","46,797","255,531","241,354","14,177"
2009,중구,"376,501","326,719","49,782","368,513","318,731","49,782","302,145","278,660","23,485"
2010,중구,"328,201","281,140","47,061","329,621","280,388","49,233","268,013","251,147","16,866"
2011,중구,"314,831","266,646","48,185","318,867","269,881","48,986","239,265","224,639","14,626"
2012,중구,"330,227","280,221","50,006","338,446","285,082","53,364","260,406","245,232","15,174"
2013,중구,"352,037","296,587","55,450","352,268","296,489","55,779","266,388","253,408","12,980"
2014,중구,"361,240","301,221","60,019","364,158","303,706","60,452","288,285","271,718","16,568"
2015,중구,"381,121","319,733","61,388","404,508","340,540","63,968","288,168","274,018","14,150"
2016,중구,"463,216","391,111","72,105","469,450","398,346","71,105","334,666","320,499","14,167"
2017,중구,"506,545","430,645","75,900","509,634","434,079","75,554","357,309","338,317","18,992"
2018,중구,"533,091","458,148","74,943","548,409","475,183","73,226","392,769","371,433","21,336"
2019,중구,"562,687","493,954","68,733","596,153","527,957","68,196","439,411","415,516","23,895"
