"('Year',)","('sigName',)","('재정자립도',)"
2016,서울시 평균,84.7(80.7)
2016,본청,83.0(80.7)
2016,자치구 평균,35.5(31.7)
2016,종로구,54.6(50.4)
2016,중구,65.2(57.1)
2016,용산구,47.1(41.0)
2016,성동구,40.0(37.3)
2016,광진구,32.3(27.2)
2016,동대문구,29.5(27.8)
2016,중랑구,23.3(21.0)
2016,성북구,25.5(22.8)
2016,강북구,22.8(19.1)
2016,도봉구,23.8(20.4)
2016,노원구,19.2(17.7)
2016,은평구,23.7(20.8)
2016,서대문구,30.1(26.2)
2016,마포구,40.9(33.1)
2016,양천구,30.6(28.2)
2016,강서구,25.6(22.5)
2016,구로구,26.6(24.8)
2016,금천구,31.3(26.8)
2016,영등포구,45.1(42.8)
2016,동작구,33.1(28.7)
2016,관악구,24.8(20.7)
2016,서초구,63.6(57.9)
2016,강남구,65.0(60.0)
2016,송파구,48.9(42.9)
2016,강동구,33.0(30.2)
