Year,sigName,용도별,분류별,합계,합계,합계,합계,합계,합계,합계,신축,신축,신축,신축,신축,신축,신축,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경
Year,sigName,용도별,분류별,계,조적,철골철근,나무,기타,콘크리트,철골,계,조적,철골철근,나무,기타,콘크리트,철골,계,조적,철골철근,나무,기타,콘크리트,철골,계,조적,철골철근,나무,기타,콘크리트,철골
2009,서울시,계,동수,"10,551","1,579",570,265,44,"7,261",832,"3,395",57,63,7,4,"3,070",194,"2,552",621,89,51,37,"1,250",504,"4,604",901,418,207,3,"2,941",134
2009,서울시,계,연면적,"8,499,572","156,282","2,052,975","14,783","1,954","5,832,765","440,813","4,866,437","5,740","1,344,911","1,366",192,"3,407,533","106,695","1,587,894","51,434","339,644","3,199","1,396","958,373","233,848","2,045,241","99,108","368,420","10,218",366,"1,466,859","100,270"
2009,서울시,주거용,동수,"3,309",592,13,52,19,"2,475",158,"2,016",34,9,4,2,"1,939",28,801,357,3,20,17,280,124,492,201,1,28,-,256,6
2009,서울시,주거용,연면적,"1,878,711","46,043","66,676","3,001",798,"1,747,083","15,110","1,597,032","4,435","51,367",770,130,"1,537,128","3,202","90,407","22,171","15,309","1,128",668,"41,343","9,788","191,272","19,437",-,"1,103",-,"168,612","2,120"
2009,서울시,상업용,동수,"5,747",876,431,194,19,"3,679",548,"1,123",13,39,2,1,927,141,"1,316",212,59,23,15,694,313,"3,308",651,333,169,3,"2,058",94
2009,서울시,상업용,연면적,"4,479,614","93,029","1,497,180","10,254",845,"2,562,018","316,288","2,212,652",922,"996,817",135,58,"1,127,115","87,605","875,432","21,343","234,449","1,868",503,"455,262","162,007","1,391,530","70,764","265,914","8,251",284,"979,641","66,676"
2009,서울시,농림수산업용,동수,4,-,-,-,-,2,2,1,-,-,-,-,-,1,3,-,-,-,-,2,1,-,-,-,-,-,-,-
2009,서울시,농림수산업용,연면적,718,-,-,-,-,569,149,48,-,-,-,-,-,48,670,-,-,-,-,569,101,-,-,-,-,-,-,-
2009,서울시,공업용,동수,52,11,5,3,-,23,10,8,1,1,-,-,3,3,18,4,1,-,-,7,6,26,6,3,3,-,13,1
2009,서울시,공업용,연면적,"235,689","1,633","9,401",306,-,"221,274","3,075","218,722",32,"1,771",-,-,"214,218","2,701","6,770",354,"3,138",-,-,"3,122",156,"10,197","1,247","4,492",306,-,"3,934",218
2009,서울시,공공용,동수,46,-,3,-,1,31,11,18,-,-,-,1,12,5,23,-,2,-,-,16,5,5,-,1,-,-,3,1
2009,서울시,공공용,연면적,"135,250",-322,"16,493",-,4,"103,918","15,157","84,342",-,-,-,4,"80,549","3,789","32,170",-322,"15,324",-,-,"15,704","1,464","18,738",-,"1,169",-,-,"7,665","9,904"
2009,서울시,문교용/사회용,동수,"1,168",75,113,10,1,892,77,117,-,12,1,-,98,6,346,43,24,8,1,231,39,705,32,77,1,-,563,32
2009,서울시,문교용/사회용,연면적,"1,524,192","13,040","403,490",889,149,"1,029,841","76,783","552,144",-,"235,833",461,-,"310,003","5,847","563,993","7,422","71,407",203,149,"434,726","50,086","408,055","5,618","96,250",225,-,"285,112","20,850"
2009,서울시,기타,동수,225,25,5,6,4,159,26,112,9,2,-,-,91,10,45,5,-,-,4,20,16,68,11,3,6,-,48,-
2009,서울시,기타,연면적,"245,398","2,859","59,735",333,158,"168,062","14,251","201,497",351,"59,123",-,-,"138,520","3,503","18,452",466,17,-,76,"7,647","10,246","25,449","2,042",595,333,82,"21,895",502
2009,본청,계,동수,108,9,3,-,-,96,-,108,9,3,-,-,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009,본청,계,연면적,"799,938",351,"236,621",-,-,"562,966",-,"799,938",351,"236,621",-,-,"562,966",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009,본청,주거용,동수,79,-,1,-,-,78,-,79,-,1,-,-,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
