Year,sigName,용도별,분류별,합계,합계,합계,합계,합계,합계,합계,신축,신축,신축,신축,신축,신축,신축,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경
Year,sigName,용도별,분류별,계,조적,철골철근,나무,기타,콘크리트,철골,계,조적,철골철근,나무,기타,콘크리트,철골,계,조적,철골철근,나무,기타,콘크리트,철골,계,조적,철골철근,나무,기타,콘크리트,철골
2000,강서구,계,동수,621,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,강서구,계,연면적,"641,669",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,강서구,주거용,동수,502,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,강서구,주거용,연면적,"382,202",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,강서구,상업용,동수,101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,강서구,상업용,연면적,"244,229",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,강서구,공업용,동수,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,강서구,공업용,연면적,"2,358",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,강서구,공공용,동수,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,강서구,공공용,연면적,486,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,강서구,문교용/사회용,동수,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,강서구,문교용/사회용,연면적,"9,094",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,강서구,기타,동수,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,강서구,기타,연면적,"3,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,강서구,계,동수,"1,507",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,강서구,계,연면적,"1,019,409",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
