Year,sigName,용도별,분류별,합계,합계,합계,합계,합계,합계,합계,신축,신축,신축,신축,신축,신축,신축,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경
Year,sigName,용도별,분류별,계,조적,철골철근,나무,기타,콘크리트,철골,계,조적,철골철근,나무,기타,콘크리트,철골,계,조적,철골철근,나무,기타,콘크리트,철골,계,조적,철골철근,나무,기타,콘크리트,철골
2000,은평구,계,동수,636,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,은평구,계,연면적,"397,843",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,은평구,주거용,동수,482,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,은평구,주거용,연면적,"343,520",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,은평구,상업용,동수,154,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,은평구,상업용,연면적,"54,323",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,은평구,계,동수,"1,548",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,은평구,계,연면적,"763,929",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,은평구,주거용,동수,"1,332",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,은평구,주거용,연면적,"612,062",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,은평구,상업용,동수,216,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,은평구,상업용,연면적,"151,867",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,은평구,계,동수,"2,132",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,은평구,계,연면적,"1,159,047",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,은평구,주거용,동수,"1,757",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,은평구,주거용,연면적,"875,770",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,은평구,상업용,동수,316,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,은평구,상업용,연면적,"238,579",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,은평구,문교용/사회용,동수,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,은평구,문교용/사회용,연면적,"22,046",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,은평구,기타,동수,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,은평구,기타,연면적,"22,652",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,은평구,계,동수,916,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,은평구,계,연면적,"704,003",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,은평구,주거용,동수,612,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,은평구,주거용,연면적,"443,193",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,은평구,상업용,동수,264,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,은평구,상업용,연면적,"213,718",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,은평구,공업용,동수,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,은평구,공업용,연면적,"1,124",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,은평구,공공용,동수,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,은평구,공공용,연면적,"2,726",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,은평구,문교용/사회용,동수,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,은평구,문교용/사회용,연면적,"32,927",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,은평구,기타,동수,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,은평구,기타,연면적,"10,315",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,은평구,계,동수,404,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,은평구,계,연면적,"208,207",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,은평구,주거용,동수,216,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,은평구,주거용,연면적,"89,906",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,은평구,상업용,동수,152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,은평구,상업용,연면적,"90,954",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,은평구,문교용/사회용,동수,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,은평구,문교용/사회용,연면적,"23,603",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,은평구,기타,동수,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,은평구,기타,연면적,"3,744",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,은평구,계,동수,396,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,은평구,계,연면적,"246,636",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,은평구,주거용,동수,237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,은평구,주거용,연면적,"86,119",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,은평구,상업용,동수,115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,은평구,상업용,연면적,"130,794",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,은평구,문교용/사회용,동수,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,은평구,문교용/사회용,연면적,"29,395",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,은평구,기타,동수,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,은평구,기타,연면적,328,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,은평구,계,동수,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2006,은평구,계,연면적,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2006,은평구,주거용,동수,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2006,은평구,주거용,연면적,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2006,은평구,상업용,동수,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2006,은평구,상업용,연면적,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2006,은평구,농림수산업용,동수,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2006,은평구,농림수산업용,연면적,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2006,은평구,공업용,동수,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2006,은평구,공업용,연면적,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2006,은평구,공공용,동수,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2006,은평구,공공용,연면적,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2006,은평구,문교용/사회용,동수,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2006,은평구,문교용/사회용,연면적,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2006,은평구,기타,동수,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2006,은평구,기타,연면적,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2007,은평구,계,동수,615,173,18,4,1,379,40,242,-,1,-,-,227,14,130,52,3,3,1,48,23,243,121,14,1,-,104,3
2007,은평구,계,연면적,"1,225,555.55","29,225.66","845,529.12",227.86,59.44,"311,658.84","38,854.63","138,906.99",-,824.9,-,-,"134,487.26","3,594.83","276,903.12","8,542.46","195,902.74",168.36,59.44,"44,726.27","27,503.85","809,745.44","20,683.2","648,801.48",59.5,-,"132,445.31","7,755.95"
2007,은평구,주거용,동수,279,50,1,-,1,219,8,192,-,-,-,-,188,4,56,33,-,-,1,18,4,31,17,1,-,-,13,-
2007,은평구,주거용,연면적,"118,937.42","6,973.47",433.04,-,59.44,"109,810.5","1,660.97","99,821.17",-,-,-,-,"99,472.12",349.05,"12,418.05","4,262.02",-,-,59.44,"6,784.67","1,311.92","6,698.2","2,711.45",433.04,-,-,"3,553.71",-
2007,은평구,상업용,동수,265,99,15,2,-,123,26,38,-,1,-,-,28,9,54,12,2,1,-,25,14,173,87,12,1,-,70,3
2007,은평구,상업용,연면적,"945,127.8","17,955.82","746,267.73",156.83,-,"144,618.78","36,128.64","23,996.58",-,824.9,-,-,"20,173.34","2,998.34","255,660.91","2,905.87","194,148.78",97.33,-,"33,134.58","25,374.35","665,470.31","15,049.95","551,294.05",59.5,-,"91,310.86","7,755.95"
2007,은평구,공공용,동수,4,-,-,-,-,4,-,4,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,은평구,공공용,연면적,"2,636.78",-,-,-,-,"2,636.78",-,"2,636.78",-,-,-,-,"2,636.78",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,은평구,문교용/사회용,동수,65,24,2,2,-,32,5,6,-,-,-,-,6,-,20,7,1,2,-,5,5,39,17,1,-,-,21,-
2007,은평구,문교용/사회용,연면적,"149,832.1","4,296.37","98,828.35",71.03,-,"45,818.77",817.58,"3,431.01",-,-,-,-,"3,431.01",-,"8,824.16","1,374.57","1,753.96",71.03,-,"4,807.02",817.58,"137,576.93","2,921.8","97,074.39",-,-,"37,580.74",-
2007,은평구,기타,동수,2,-,-,-,-,1,1,2,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,은평구,기타,연면적,"9,021.45",-,-,-,-,"8,774.01",247.44,"9,021.45",-,-,-,-,"8,774.01",247.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008,은평구,계,동수,871,133,7,1,2,695,33,553,1,4,1,-,536,11,125,42,-,-,2,60,21,193,90,3,-,-,99,1
2008,은평구,계,연면적,"511,235","11,661","12,197",51,90,"482,395","4,841","450,851",27,"9,532",25,-,"438,299","2,968","22,673","2,779","1,401",-,90,"16,712","1,691","37,711","8,855","1,264",26,-,"27,384",182
2008,은평구,주거용,동수,575,62,-,-,2,506,5,471,-,-,-,-,469,2,58,29,-,-,2,24,3,46,33,-,-,-,13,-
2008,은평구,주거용,연면적,"339,155","4,219",539,-,90,"333,149","1,158","329,903",-,539,-,-,"328,925",439,"3,067","1,570",-,-,90,870,537,"6,185","2,649",-,-,-,"3,354",182
