Year,sigName,합계,합계,합계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,자연공원,기타공원,기타공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,기타공원,도시공원,도시공원,도시공원,도시공원,계,계,계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원
Year,sigName,합계,합계,합계,계,계,계,도시자연공원,도시자연공원,도시자연공원,근린공원,근린공원,근린공원,어린이공원,어린이공원,묘지공원,묘지공원,자연공원,자연공원,기타공원,기타공원,어린이공원,체육공원,체육공원,소공원,소공원,역사공원,역사공원,자연공원,기타공원,문화공원,문화공원,수변공원,수변공원,계,계,계,소계,소계,소계,생태공원,생태공원,가로공원,가로공원
Year,sigName,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,(중복),공원수,면적,공원수,면적,공원수,면적,(중복),(중복),공원수,면적,공원수,면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적
1995,합계,"1,394",…,"150,841.0","1,375",-,"103,390.0",22,…,"65,353.0",236,…,"33,335.0","1,113","1,712.0",4,"2,990.0",1,"39,710.0",18,"7,741.0",…,-,-,-,-,-,-,5,-,,,,,,,,,,,,,,
1995,종로구,48,…,"9,798.0",48,-,"5,948.0",3,…,"3,684.0",15,…,"2,188.0",30,76,-,-,-,"3,850.0",-,-,…,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
1995,중구,29,…,"1,804.0",29,-,"1,804.0",1,…,"1,527.0",5,…,242,23,35,-,-,-,-,-,-,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1995,용산구,26,…,"2,736.0",23,-,"1,899.0",-,…,"1,444.0",4,…,416,19,39,-,-,-,-,3,837,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1995,성동구,39,…,898,38,-,456,-,…,-,3,…,407,35,49,-,-,-,-,1,442,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1995,광진구,43,…,"3,242.0",42,-,"2,859.0",-,…,"2,259.0",1,…,561,41,39,-,-,-,-,1,383,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1995,동대문구,31,…,790,31,-,790,-,…,-,6,…,754,25,36,-,-,-,-,-,-,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1995,중랑구,46,…,"4,690.0",46,-,"4,690.0",1,…,"2,799.0",2,…,"1,011.0",42,47,1,833,-,-,-,-,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1995,성북구,20,…,"8,639.0",20,-,"3,939.0",1,…,"2,415.0",2,…,"1,488.0",17,36,-,-,-,"4,700.0",-,-,…,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
1995,강북구,34,…,"12,924.0",33,-,"1,384.0",-,…,128,1,…,"1,214.0",32,42,-,-,1,"11,540.0",-,-,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1995,도봉구,40,…,"10,949.0",40,-,"1,059.0",-,…,-,3,…,"1,012.0",37,47,-,-,-,"9,890.0",-,-,…,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
1995,노원구,117,…,"13,972.0",116,-,"13,811.0",2,…,"12,056.0",23,…,"1,592.0",91,163,-,-,-,-,1,161,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1995,은평구,49,…,"13,627.0",49,-,"4,207.0",3,…,"2,340.0",8,…,"1,824.0",38,43,-,-,-,"9,420.0",-,-,…,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
1995,서대문구,42,…,"4,842.0",42,-,"4,532.0",1,…,"3,266.0",3,…,"1,206.0",38,60,-,-,-,310,-,-,…,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
1995,마포구,49,…,"1,890.0",47,-,280,-,…,-,5,…,220,41,47,1,13,-,-,2,"1,610.0",…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1995,양천구,74,…,"2,145.0",74,-,"2,145.0",-,…,"1,003.0",16,…,"1,028.0",58,114,-,-,-,-,-,-,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1995,강서구,119,…,"3,203.0",118,-,"2,484.0",-,…,-,16,…,"2,350.0",102,134,-,-,-,-,1,719,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1995,구로구,28,…,"2,492.0",27,-,"2,465.0",2,…,"1,685.0",5,…,753,20,27,-,-,-,-,1,27,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1995,금천구,42,…,"2,032.0",42,-,"2,032.0",-,…,"1,975.0",1,…,18,41,39,-,-,-,-,-,-,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1995,영등포구,23,…,"1,118.0",21,-,168,-,…,-,4,…,111,17,57,-,-,-,-,2,950,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
