Year,sigName,합계,합계,합계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,자연공원,기타공원,기타공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,기타공원,도시공원,도시공원,도시공원,도시공원,계,계,계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원
Year,sigName,합계,합계,합계,계,계,계,도시자연공원,도시자연공원,도시자연공원,근린공원,근린공원,근린공원,어린이공원,어린이공원,묘지공원,묘지공원,자연공원,자연공원,기타공원,기타공원,어린이공원,체육공원,체육공원,소공원,소공원,역사공원,역사공원,자연공원,기타공원,문화공원,문화공원,수변공원,수변공원,계,계,계,소계,소계,소계,생태공원,생태공원,가로공원,가로공원
Year,sigName,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,(중복),공원수,면적,공원수,면적,공원수,면적,(중복),(중복),공원수,면적,공원수,면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적
1993,관악구,73,2,"10,899.0",73,2,"10,899.0",1,-,"10,432.0",3,2,397,69,70,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1994,관악구,74,2,"10,900.0",74,2,"10,900.0",1,-,"10,432.0",3,2,397,70,71,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1995,관악구,74,…,"10,900.0",74,-,"10,900.0",1,…,"10,432.0",3,…,397,70,71,-,-,-,-,-,-,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1996,관악구,73,2,"10,899.0",73,2,"10,899.0",1,-,"10,432.0",3,2,397,69,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1997,관악구,73,2,"10,901.0",73,2,"10,901.0",1,-,"10,434.0",3,2,397,69,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1998,관악구,75,2,"10,760.0",75,2,"10,760.0",1,-,"10,291.0",3,2,397,71,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1999,관악구,75,2,"10,760.0",75,2,"10,760.0",1,-,"10,291.0",3,2,397,71,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2000,관악구,75,2,"10,760.0",75,2,"10,760.0",1,-,"10,291.0",3,2,397,71,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2001,관악구,79,2,"10,760.7",75,2,"10,759.7",1,-,"10,291.2",3,2,397,71,71.5,-,-,-,-,4,1,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2002,관악구,81,2,"10,764.0",75,2,"10,761.0",1,-,"10,292.0",3,2,397,71,72,-,-,-,-,6,3,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2003,관악구,83,2,"10,765.0",75,2,"10,761.0",1,-,"10,292.0",3,2,397,71,72,-,-,-,-,8,4,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,관악구,85,2,"10,765.0",77,2,"10,761.0",1,-,"10,292.0",3,2,397,73,72,-,-,-,-,8,4,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2005,관악구,87,2,"10,765.0",77,2,"10,761.0",1,-,"10,292.0",3,2,397,73,72,-,-,-,-,10,4,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2006,관악구,89,2,"10,765.0",77,2,"10,761.0",1,-,"10,292.0",3,2,397,73,72,-,-,-,-,12,4,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2007,관악구,90,(2),"10,767.8",77,(2),"10,761.1",1,-,"10,291.8",3,(2),397.3,73,72,-,-,-,-,13,6.7,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
2008,관악구,102,2,"10,954.0",89,2,"10,947.0",1,-,"10,421.0",4,2,400,72,78,-,-,-,-,13,7,,-,-,7,10,-,-,-,-,1,4,4,34,,,,,,,,,,
2009,관악구,103,2,"10,953.9",90,2,"10,947.2",1,-,"10,420.8",4,2,400.5,68,76.1,-,-,-,-,13,6.7,,-,-,12,11.4,-,-,-,-,1,4.3,4,34.2,,,,,,,,,,
2010,관악구,107,2,"10,964.9",94,2,"10,958.2",1,-,"10,420.8",4,2,400.5,70,83.9,-,-,-,-,13,6.7,,-,-,14,14.5,-,-,-,-,1,4.3,4,34.2,,,,,,,,,,
2011,관악구,,,,,,,1,-,"10,420.8",4,2,400.5,70,83.9,-,-,-,-,13,6.7,,-,-,15,23.2,-,-,-,-,1,4.3,4,34.2,108,2,"10,973.6",95,2,"10,966.9",-,-,,
2012,관악구,,,,,,,1,-,"10,420.8",4,2,400.5,71,87,-,-,-,-,13,6.7,,-,-,14,20.2,-,-,-,-,1,4.3,4,33.5,108,2,"10,973.0",95,2,"10,966.3",-,-,,
