Year,sigName,합계,합계,합계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,자연공원,기타공원,기타공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,기타공원,도시공원,도시공원,도시공원,도시공원,계,계,계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원
Year,sigName,합계,합계,합계,계,계,계,도시자연공원,도시자연공원,도시자연공원,근린공원,근린공원,근린공원,어린이공원,어린이공원,묘지공원,묘지공원,자연공원,자연공원,기타공원,기타공원,어린이공원,체육공원,체육공원,소공원,소공원,역사공원,역사공원,자연공원,기타공원,문화공원,문화공원,수변공원,수변공원,계,계,계,소계,소계,소계,생태공원,생태공원,가로공원,가로공원
Year,sigName,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,(중복),공원수,면적,공원수,면적,공원수,면적,(중복),(중복),공원수,면적,공원수,면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적
1993,구로구,70,2,"4,524.0",69,2,"4,497.0",2,1,"3,660.0",6,1,771,61,66,-,-,-,-,1,27,,,,,,,,,,,,,,,,,,,,,,,
1994,구로구,70,2,"4,524.0",69,2,"4,497.0",2,1,"3,660.0",6,1,771,61,66,-,-,-,-,1,27,,,,,,,,,,,,,,,,,,,,,,,
1995,구로구,28,…,"2,492.0",27,-,"2,465.0",2,…,"1,685.0",5,…,753,20,27,-,-,-,-,1,27,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1996,구로구,28,1,"2,492.0",27,1,"2,465.0",2,-,"1,685.0",5,1,753,20,27,-,-,-,-,1,27,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1997,구로구,28,1,"2,492.0",27,1,"2,465.0",2,-,"1,685.0",5,1,753,20,27,-,-,-,-,1,27,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1998,구로구,30,1,"2,503.0",29,1,"2,476.0",2,-,"1,685.0",6,1,764,21,27,-,-,-,-,1,27,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1999,구로구,30,1,"2,503.0",29,1,"2,476.0",2,-,"1,685.0",6,1,764,21,27,-,-,-,-,1,27,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2000,구로구,31,1,"2,506.0",30,1,"2,479.0",2,-,"1,685.0",6,1,764,22,30,-,-,-,-,1,27,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2001,구로구,38,1,"2,509.6",30,1,"2,479.6",2,-,"1,685.4",6,1,764,22,30.1,-,-,-,-,8,30,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2002,구로구,38,1,"2,512.0",29,1,"2,482.0",2,-,"1,685.0",6,1,767,21,30,-,-,-,-,9,30,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2003,구로구,39,1,"2,513.0",30,1,"2,483.0",2,-,"1,685.0",6,1,764,22,34,-,-,-,-,9,30,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,구로구,39,1,"2,513.0",30,1,"2,483.0",2,-,"1,685.0",6,1,764,22,34,-,-,-,-,9,30,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2005,구로구,77,1,"2,927.0",33,1,"2,600.0",2,-,"1,685.0",7,1,864,24,51,-,-,-,-,44,327,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2006,구로구,87,1,"3,054.0",42,1,"2,727.0",2,-,"1,686.0",11,1,977,27,62,-,-,-,-,45,327,-,-,-,2,2,-,-,-,-,,,,,,,,,,,,,,
2007,구로구,99,(1),"3,131.2",47,(1),"2,802.6",2,-,"1,685.4",13,(1),"1,048.9",28,59.8,-,-,-,-,52,328.6,,-,-,4,8.5,-,-,-,-,-,-,,,,,,,,,,,,
2008,구로구,103,1,"3,135.0",50,1,"2,805.0",2,-,"1,686.0",13,1,"1,049.0",26,53,-,-,-,-,53,330,,-,-,9,17,-,-,-,-,-,-,-,-,,,,,,,,,,
2009,구로구,102,1,"3,134.1",50,1,"2,804.7",2,-,"1,685.4",13,1,"1,048.9",26,53,-,-,-,-,52,329.5,,-,-,9,17.4,-,-,-,-,-,-,-,-,,,,,,,,,,
2010,구로구,98,1,"3,169.9",56,1,"2,848.4",2,-,"1,685.4",15,1,"1,087.8",25,49.3,-,-,-,-,42,321.5,,-,-,13,22.3,-,-,-,-,1,3.7,-,-,,,,,,,,,,
2011,구로구,,,,,,,2,-,"1,685.4",14,1,"1,105.1",25,49.3,-,-,-,-,42,321.5,,-,-,13,22.3,-,-,-,-,1,3.3,-,-,97,1,"3,186.9",55,1,"2,865.4",-,-,,
2012,구로구,,,,,,,2,-,"1,685.4",14,1,"1,105.1",25,49.3,-,-,-,-,41,321.4,,-,-,13,22.3,-,-,-,-,1,3.3,-,-,96,1,"3,186.9",55,1,"2,865.4",-,-,,
