Year,sigName,합계,합계,합계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,자연공원,기타공원,기타공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,기타공원,도시공원,도시공원,도시공원,도시공원,계,계,계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원
Year,sigName,합계,합계,합계,계,계,계,도시자연공원,도시자연공원,도시자연공원,근린공원,근린공원,근린공원,어린이공원,어린이공원,묘지공원,묘지공원,자연공원,자연공원,기타공원,기타공원,어린이공원,체육공원,체육공원,소공원,소공원,역사공원,역사공원,자연공원,기타공원,문화공원,문화공원,수변공원,수변공원,계,계,계,소계,소계,소계,생태공원,생태공원,가로공원,가로공원
Year,sigName,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,(중복),공원수,면적,공원수,면적,공원수,면적,(중복),(중복),공원수,면적,공원수,면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적
1993,도봉구,72,1,"2,458.0",72,1,"2,458.0",-,1,138,4,-,"2,226.0",68,94,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1994,도봉구,72,1,"2,442.0",72,1,"2,442.0",-,1,128,4,-,"2,226.0",68,88,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1995,도봉구,40,…,"10,949.0",40,-,"1,059.0",-,…,-,3,…,"1,012.0",37,47,-,-,-,"9,890.0",-,-,…,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
1996,도봉구,39,2,"10,949.0",39,1,"1,059.0",-,-,-,2,1,"1,012.0",37,47,-,-,-,"9,890.0",-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
1997,도봉구,39,2,"10,940.0",39,1,"1,050.0",-,-,-,2,1,"1,004.0",37,46,-,-,-,"9,890.0",-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
1998,도봉구,39,2,"10,941.0",39,1,"1,051.0",-,-,-,2,1,"1,004.0",37,47,-,-,-,"9,890.0",-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
1999,도봉구,39,2,"10,941.0",39,1,"1,051.0",-,-,-,2,1,"1,004.0",37,47,-,-,-,"9,890.0",-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2000,도봉구,38,2,"10,939.0",38,1,"1,049.0",-,-,-,2,1,"1,004.0",36,45,-,-,-,"9,890.0",-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2001,도봉구,45,2,"10,942.9",38,1,"1,048.9",-,-,-,2,1,"1,004.0",36,44.9,-,-,-,"9,890.0",7,4,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2002,도봉구,51,2,"10,379.0",39,1,"1,050.0",-,-,-,2,1,"1,004.0",37,46,-,-,-,"9,316.0",12,13,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2003,도봉구,52,2,"10,255.0",39,1,"1,050.0",-,-,-,2,1,"1,004.0",37,46,-,-,-,"9,191.0",13,14,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2004,도봉구,53,2,"10,256.0",40,1,"1,051.0",-,-,-,2,1,"1,004.0",38,47,-,-,-,"9,191.0",13,14,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2005,도봉구,59,2,"10,436.0",41,1,"1,054.0",-,-,-,2,1,"1,004.0",39,50,-,-,-,"9,191.0",18,191,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2006,도봉구,61,2,"10,442.0",42,1,"1,055.0",-,-,-,2,1,"1,004.0",39,50,-,-,-,"9,191.0",19,196,-,-,-,1,1,-,-,1,-,,,,,,,,,,,,,,
2007,도봉구,65,(2),"10,498.5",43,(1),"1,055.7",-,-,-,2,(1),"1,003.6",39,50.3,-,-,-,"9,191.0",22,251.9,,-,-,2,1.7,-,-,(1),-,-,-,,,,,,,,,,,,
2008,도봉구,65,2,"10,499.0",43,1,"1,056.0",-,-,-,2,1,"1,004.0",39,50,-,-,-,"9,191.0",22,252,,-,-,2,2,-,-,1,-,-,-,-,-,,,,,,,,,,
2009,도봉구,65,2,"10,452.5",43,1,"1,055.7",-,-,-,2,1,"1,003.6",39,50.3,-,-,-,"9,145.0",22,251.9,,-,-,2,1.7,-,-,1,-,-,-,-,-,,,,,,,,,,
2010,도봉구,73,2,"10,500.3",50,1,"1,098.7",-,-,-,2,1,"1,003.6",39,50.3,-,-,-,"9,149.0",23,252.6,,1,33.8,8,11,-,-,1,-,-,-,-,-,,,,,,,,,,
2011,도봉구,,,,,,,-,-,-,2,1,"1,003.6",39,50.3,-,-,-,"9,149.0",23,205.8,,1,33.8,8,11.1,-,-,1,-,-,-,-,-,74,2,"10,505.1",51,1,"1,150.4",1,51.5,,
