Year,sigName,합계,합계,합계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,자연공원,기타공원,기타공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,기타공원,도시공원,도시공원,도시공원,도시공원,계,계,계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원
Year,sigName,합계,합계,합계,계,계,계,도시자연공원,도시자연공원,도시자연공원,근린공원,근린공원,근린공원,어린이공원,어린이공원,묘지공원,묘지공원,자연공원,자연공원,기타공원,기타공원,어린이공원,체육공원,체육공원,소공원,소공원,역사공원,역사공원,자연공원,기타공원,문화공원,문화공원,수변공원,수변공원,계,계,계,소계,소계,소계,생태공원,생태공원,가로공원,가로공원
Year,sigName,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,(중복),공원수,면적,공원수,면적,공원수,면적,(중복),(중복),공원수,면적,공원수,면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적
1993,동대문구,32,-,764,32,-,764,-,-,-,6,-,726,26,38,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1994,동대문구,31,-,790,31,-,790,-,-,-,6,-,754,25,36,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1995,동대문구,31,…,790,31,-,790,-,…,-,6,…,754,25,36,-,-,-,-,-,-,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1996,동대문구,29,1,789,29,1,789,-,-,-,5,1,754,24,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1997,동대문구,30,1,845,30,1,845,-,-,-,7,1,810,23,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1998,동대문구,30,1,845,30,1,845,-,-,-,7,1,810,23,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1999,동대문구,28,1,844,28,1,844,-,-,-,7,1,810,21,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2000,동대문구,33,1,851,33,1,851,-,-,-,10,1,815,23,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2001,동대문구,47,1,863.2,34,1,852.2,-,-,-,10,1,814,24,38.2,-,-,-,-,13,11,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2002,동대문구,46,1,880,33,1,869,-,-,-,10,1,831,23,38,-,-,-,-,13,11,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2003,동대문구,48,1,883,34,1,870,-,-,-,10,1,831,24,39,-,-,-,-,14,13,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,동대문구,49,1,891,35,1,876,-,-,-,10,1,836,25,40,-,-,-,-,14,15,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2005,동대문구,53,1,"1,120.0",35,1,876,-,-,-,10,1,836,25,40,-,-,-,-,18,244,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2006,동대문구,67,1,"1,153.0",49,1,909,-,-,-,12,1,851,33,54,-,-,-,-,18,244,-,-,-,4,4,-,-,-,-,,,,,,,,,,,,,,
2007,동대문구,70,(1),"1,210.1",52,(1),986.5,-,-,-,13,(1),925.9,33,54.2,-,-,-,-,18,223.6,,-,-,6,6.4,-,-,-,-,-,-,,,,,,,,,,,,
2008,동대문구,99,1,"1,208.0",80,1,983,-,-,-,13,1,865,50,96,-,-,-,-,19,225,,-,-,17,22,-,-,-,-,-,-,-,-,,,,,,,,,,
2009,동대문구,100,1,"1,279.7",81,1,"1,034.2",-,-,-,14,1,915.1,49,96.3,-,-,-,-,19,245.5,,-,-,18,22.8,-,-,-,-,-,-,-,-,,,,,,,,,,
2010,동대문구,105,1,"1,237.8",87,1,993.7,-,-,-,13,1,863.1,52,101.6,-,-,-,-,18,244.1,,-,-,22,29.1,-,-,-,-,-,-,-,-,,,,,,,,,,
2011,동대문구,,,,,,,-,-,-,13,1,863.1,52,102,-,-,-,-,17,242.7,,-,-,23,29.3,-,-,-,-,-,-,-,-,105,1,"1,237.1",88,1,994.4,-,-,,
2012,동대문구,,,,,,,-,-,-,13,1,863.1,49,94.2,-,-,-,-,17,242.7,,-,-,26,34.2,1,3.9,-,-,-,-,-,-,106,1,"1,238.1",89,1,995.5,-,-,,
2013,동대문구,,,,,,,-,-,-,12,1,863.2,47,91,-,-,-,-,16,242.1,,-,-,26,34.2,1,3.9,-,-,-,-,-,-,102,1,"1,234.5",86,1,992.4,-,-,-,-
2014,동대문구,,,,,,,-,-,-,12,1,914,44,85.1,-,-,-,-,16,242.1,,-,-,25,31.9,1,3.9,-,-,-,-,-,-,99,1,"1,279.5",83,1,"1,037.4",-,-,1,2.4
