Year,sigName,합계,합계,합계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,자연공원,기타공원,기타공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,기타공원,도시공원,도시공원,도시공원,도시공원,계,계,계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원
Year,sigName,합계,합계,합계,계,계,계,도시자연공원,도시자연공원,도시자연공원,근린공원,근린공원,근린공원,어린이공원,어린이공원,묘지공원,묘지공원,자연공원,자연공원,기타공원,기타공원,어린이공원,체육공원,체육공원,소공원,소공원,역사공원,역사공원,자연공원,기타공원,문화공원,문화공원,수변공원,수변공원,계,계,계,소계,소계,소계,생태공원,생태공원,가로공원,가로공원
Year,sigName,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,(중복),공원수,면적,공원수,면적,공원수,면적,(중복),(중복),공원수,면적,공원수,면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적
1993,서초구,108,1,"14,721.0",108,1,"14,721.0",5,1,"13,018.0",18,-,"1,490.0",85,213,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1994,서초구,111,1,"14,476.0",111,1,"14,476.0",5,1,"13,018.0",18,-,"1,239.0",88,219,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1995,서초구,118,…,"15,301.0",117,-,"14,759.0",5,…,"13,019.0",20,…,"1,520.0",92,220,-,-,-,-,1,542,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1996,서초구,117,1,"15,300.0",116,1,"14,758.0",5,1,"13,026.0",19,-,"1,512.0",92,220,-,-,-,-,1,542,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1997,서초구,117,1,"15,301.0",116,1,"14,759.0",5,1,"13,026.0",19,-,"1,513.0",92,220,-,-,-,-,1,542,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1998,서초구,116,1,"15,320.0",115,1,"14,778.0",5,1,"13,026.0",20,-,"1,598.0",90,154,-,-,-,-,1,542,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1999,서초구,117,-,"15,320.0",116,-,"14,778.0",6,1,"13,026.0",20,-,"1,598.0",90,154,-,-,-,-,1,542,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2000,서초구,118,-,"15,327.0",117,-,"14,785.0",6,-,"13,026.0",21,-,"1,605.0",90,154,-,-,-,-,1,542,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2001,서초구,121,-,"15,331.6",117,-,"14,786.6",6,-,"13,025.0",21,-,"1,608.0",90,153.6,-,-,-,-,4,545,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2002,서초구,122,-,"15,461.0",118,-,"14,916.0",6,-,"13,026.0",21,-,"1,608.0",90,154,1,128,-,-,4,545,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2003,서초구,122,-,"15,461.0",118,-,"14,916.0",6,-,"13,026.0",21,-,"1,608.0",90,154,1,128,-,-,4,545,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,서초구,122,-,"15,461.0",118,-,"14,916.0",6,-,"13,026.0",21,-,"1,608.0",90,154,1,128,-,-,4,545,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2005,서초구,132,-,"15,715.0",118,-,"14,916.0",6,-,"13,026.0",21,-,"1,608.0",90,154,1,128,-,-,14,799,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2006,서초구,132,-,"15,715.0",118,-,"14,916.0",6,-,"13,026.0",21,-,"1,608.0",90,154,1,128,-,-,14,799,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2007,서초구,129,-,"15,816.2",116,-,"15,017.7",6,-,"13,026.3",26,-,"1,728.0",83,135.6,1,127.8,-,-,13,798.5,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
2008,서초구,128,-,"15,817.0",117,-,"15,022.0",6,-,"13,026.0",26,-,"1,727.0",83,136,1,128,-,-,11,795,,-,-,1,5,-,-,-,-,-,-,-,-,,,,,,,,,,
2009,서초구,127,-,"15,816.3",116,-,"15,021.4",6,-,"13,026.3",26,-,"1,728.0",82,134.6,1,127.8,-,-,11,794.9,,-,-,1,4.7,-,-,-,-,-,-,-,-,,,,,,,,,,
2010,서초구,130,-,"15,822.5",119,-,"15,027.5",6,-,"13,026.3",26,-,"1,728.0",84,138.8,1,127.8,-,-,11,794.9,,-,-,2,6.6,-,-,-,-,-,-,-,-,,,,,,,,,,
2011,서초구,,,,,,,6,-,"13,026.3",26,-,"1,728.0",84,138.8,1,127.8,-,-,11,794.9,,-,-,2,6.6,-,-,-,-,-,-,-,-,130,-,"15,822.5",119,-,"15,027.5",-,-,,
