Year,sigName,합계,합계,합계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,자연공원,기타공원,기타공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,기타공원,도시공원,도시공원,도시공원,도시공원,계,계,계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원
Year,sigName,합계,합계,합계,계,계,계,도시자연공원,도시자연공원,도시자연공원,근린공원,근린공원,근린공원,어린이공원,어린이공원,묘지공원,묘지공원,자연공원,자연공원,기타공원,기타공원,어린이공원,체육공원,체육공원,소공원,소공원,역사공원,역사공원,자연공원,기타공원,문화공원,문화공원,수변공원,수변공원,계,계,계,소계,소계,소계,생태공원,생태공원,가로공원,가로공원
Year,sigName,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,(중복),공원수,면적,공원수,면적,공원수,면적,(중복),(중복),공원수,면적,공원수,면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적
1993,영등포구,21,-,167,21,-,167,-,-,-,4,-,111,17,56,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1994,영등포구,21,-,168,21,-,168,-,-,-,4,-,111,17,57,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1995,영등포구,23,…,"1,118.0",21,-,168,-,…,-,4,…,111,17,57,-,-,-,-,2,950,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1996,영등포구,23,-,"1,118.0",21,-,168,-,-,-,4,-,111,17,57,-,-,-,-,2,950,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1997,영등포구,25,-,"1,193.0",23,-,243,-,-,-,6,-,186,17,57,-,-,-,-,2,950,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1998,영등포구,29,-,"1,448.0",27,-,498,-,-,-,9,-,438,18,60,-,-,-,-,2,950,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1999,영등포구,30,-,"1,454.0",28,-,504,-,-,-,10,-,450,18,54,-,-,-,-,2,950,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2000,영등포구,30,-,"1,454.0",28,-,504,-,-,-,10,-,450,18,54,-,-,-,-,2,950,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2001,영등포구,35,-,"1,566.1",29,-,614.1,-,-,-,11,-,560,18,54.1,-,-,-,-,6,952,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2002,영등포구,41,-,"1,569.0",29,-,614,-,-,-,11,-,560,18,54,-,-,-,-,12,955,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2003,영등포구,45,-,"1,570.0",29,-,614,-,-,-,11,-,560,18,54,-,-,-,-,16,956,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,영등포구,48,-,"1,574.0",29,-,614,-,-,-,11,-,560,18,54,-,-,-,-,19,960,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2005,영등포구,56,-,"2,064.0",31,-,622,-,-,-,11,-,560,20,62,-,-,-,-,25,"1,442.0",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2006,영등포구,57,-,"2,064.0",31,-,622,-,-,-,11,-,560,20,62,-,-,-,-,26,"1,442.0",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2007,영등포구,58,-,"2,063.3",31,-,622.3,-,-,-,11,-,560,20,62.4,-,-,-,-,27,"1,441.0",,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
2008,영등포구,98,-,"2,152.0",68,-,706,-,-,-,13,-,577,30,90,-,-,-,-,30,"1,446.0",,-,-,24,36,1,3,-,-,-,-,-,-,,,,,,,,,,
2009,영등포구,112,-,"2,175.8",77,-,725.9,-,-,-,13,-,577,32,100.2,-,-,-,-,35,"1,449.9",,-,-,31,45.8,1,3,-,-,-,-,-,-,,,,,,,,,,
2010,영등포구,116,-,"2,184.4",83,-,739.3,-,-,-,13,-,582.9,32,100.1,-,-,-,-,33,"1,445.1",,-,-,37,53.3,1,3,-,-,-,-,-,-,,,,,,,,,,
2011,영등포구,,,,,,,-,-,-,13,-,583.2,34,102.1,-,-,-,-,33,"1,445.1",,-,-,41,56.5,1,3,-,-,-,-,-,-,122,-,"2,189.8",89,-,744.7,-,-,,
2012,영등포구,,,,,,,-,-,-,13,-,587.1,34,102.1,-,-,-,-,33,"1,445.1",,-,-,41,56.5,1,3,-,-,-,-,-,-,122,-,"2,193.7",89,-,748.6,-,-,,
2013,영등포구,,,,,,,-,-,-,13,-,583.2,34,102.1,-,-,-,-,34,"2,344.8",,-,-,41,56.7,1,3,-,-,-,-,-,-,123,-,"3,089.7",89,-,744.9,-,-,-,-
